85.0|58573
85.1|58704
85.2|58835
85.3|58967
85.4|59109
85.5|59250
86.0|59389
86.1|59532
86.2|59673
86.3|59816
86.4|59943
86.5|60084
87.0|60238
87.1|60364
87.2|60508
87.3|60680
87.4|60822
87.5|60968
88.0|61110
88.1|61256
88.2|61383
88.3|61534
88.4|61678
88.5|61822
89.0|61970
89.1|62097
89.2|62239
89.3|62379
89.4|62524
89.5|62672
90.0|62809
90.1|62953
90.2|63096
90.3|63241
90.4|63380
90.5|63529
91.0|63678
91.1|63807
91.2|63956
91.3|64100
91.4|64272
91.5|64434
92.0|64596
92.1|64743
92.2|64887
92.3|65038
92.4|65176
92.5|65314
93.0|65456
93.1|65587
93.2|65751
93.3|65889
93.4|66035
93.5|66178
94.0|66316
94.1|66460
94.2|66596
94.3|66733
94.4|66875
94.5|67013
95.0|67162
95.1|67285
95.2|67423
95.3|67569
95.4|67724
95.5|67861
96.0|68003
96.1|68150
96.2|68287
96.3|68423
96.4|68566
96.5|68710
97.0|68845
97.1|68979
97.2|69121
97.3|69265
97.4|69408
97.5|69547
98.0|69690
98.1|69845
98.2|69993
98.3|70134
98.4|70271
98.5|70414
99.0|70570
99.1|70714
99.2|70857
99.3|70999
99.4|71139
99.5|71271
100.0|71411
100.1|71545
100.2|71680
100.3|71817
100.4|71960
100.5|72102
101.0|72248
101.1|72376
101.2|72514
101.3|72653
101.4|72788
101.5|72933
102.0|73076
102.1|73211
102.2|73345
102.3|73500
102.4|73644
102.5|73793
103.0|73935
103.1|74058
103.2|74196
103.3|74347
103.4|74493
103.5|74640
104.0|74770
104.1|74912
104.2|75057
104.3|75200
104.4|75343
104.5|75470
105.0|75621
105.1|75757
105.2|75907
105.3|76053
105.4|76190
105.5|76334
106.0|76469
106.1|76611
106.2|76748
106.3|76888
106.4|77031
106.5|77174
107.0|77321
107.1|77444
107.2|77581
107.3|77733
107.4|77871
107.5|78027
108.0|78178
108.1|78316
108.2|78452
108.3|78604
108.4|78742
108.5|78883
109.0|79025
109.1|79154
109.2|79294
109.3|79443
109.4|79581
109.5|79722
110.0|79861
110.1|80002
110.2|80147
110.3|80314
110.4|80503
110.5|80689
111.0|80875
111.1|81037
111.2|81180
111.3|81319
111.4|81460
111.5|81593
112.0|81730
112.1|81884
112.2|82027
112.3|82161
112.4|82296
112.5|82444
113.0|82587
113.1|82708
113.2|82853
113.3|82993
113.4|83144
113.5|83287
114.0|83437
114.1|83579
114.2|83719
114.3|83864
114.4|84016
114.5|84151
115.0|84308
115.1|84431
115.2|84569
115.3|84717
115.4|84859
115.5|85000
116.0|85145
116.1|85292
116.2|85441
116.3|85596
116.4|85746
116.5|85904
117.0|86041
117.1|86172
117.2|86319
117.3|86456
117.4|86597
117.5|86740
118.0|86886
118.1|87046
118.2|87183
118.3|87319
118.4|87465
118.5|87603
119.0|87745
119.1|87864
119.2|87999
119.3|88136
119.4|88267
119.5|88403
120.0|88537
120.1|88680
120.2|88817
120.3|88975
120.4|89112
120.5|89270
121.0|89408
121.1|89533
121.2|89693
121.3|89844
121.4|89994
121.5|90139
122.0|90288
122.1|90432
122.2|90585
122.3|90731
122.4|90886
122.5|91023
123.0|91156
123.1|91278
123.2|91415
123.3|91557
123.4|91692
123.5|91824
124.0|91965
124.1|92115
124.2|92257
124.3|92392
124.4|92536
124.5|92675
125.0|92806
125.1|92941
125.2|93077
125.3|93230
125.4|93372
125.5|93518
126.0|93678
126.1|93826
126.2|93966
126.3|94122
126.4|94258
126.5|94399
127.0|94543
127.1|94669
127.2|94806
127.3|94942
127.4|95076
127.5|95237
128.0|95418
128.1|95584
128.2|95757
128.3|95945
128.4|96094
128.5|96228
129.0|96367
129.1|96488
129.2|96619
129.3|96760
129.4|96895
129.5|97030
130.0|97166
130.1|97314
130.2|97452
130.3|97601
130.4|97748
130.5|97897
131.0|98039
131.1|98165
131.2|98304
131.3|98450
131.4|98589
131.5|98738
132.0|98893
132.1|99040
132.2|99176
132.3|99314
132.4|99451
132.5|99586
133.0|99726
133.1|99849
133.2|99999
133.3|100141
133.4|100299
133.5|100442
134.0|100590
134.1|100748
134.2|100888
134.3|101040
134.4|101181
134.5|101329
135.0|101476
135.1|101613
135.2|101761
135.3|101905
135.4|102046
135.5|102194
136.0|102360
136.1|102497
136.2|102640
136.3|102772
136.4|102913
136.5|103049
137.0|103182
137.1|103315
137.2|103470
137.3|103618
137.4|103767
137.5|103911
138.0|104047
138.1|104186
138.2|104340
138.3|104484
138.4|104610
138.5|104753
139.0|104890
139.1|105036
139.2|105177
139.3|105326
139.4|105462
139.5|105606
140.0|105741
140.1|105927
140.2|106099
140.3|106276
140.4|106416
140.5|106561
141.0|106707
141.1|106838
141.2|106968
141.3|107113
141.4|107251
141.5|107392
142.0|107527
142.1|107672
142.2|107815
142.3|107948
142.4|108086
142.5|108238
143.0|108373
143.1|108501
143.2|108648
143.3|108796
143.4|108959
143.5|109114
144.0|109262
144.1|109417
144.2|109571
144.3|109727
144.4|109873
144.5|110027
145.0|110172
145.1|110305
145.2|110459
145.3|110596
145.4|110746
145.5|110891
146.0|111037
146.1|111166
146.2|111312
146.3|111451
146.4|111587
146.5|111732
147.0|111883
147.1|112003
147.2|112148
147.3|112298
147.4|112452
147.5|112596
148.0|112734
148.1|112870
148.2|113027
148.3|113175
148.4|113322
148.5|113466
149.0|113611
149.1|113732
149.2|113873
149.3|114014
149.4|114161
149.5|114294
150.0|114427
150.1|114573
150.2|114706
150.3|114852
150.4|114997
150.5|115146
151.0|115236
152.0|115314
152.1|115440
152.2|115582
152.3|115726
152.4|115880
153.0|116022
153.1|116148
153.2|116291
153.3|116434
153.4|116574
154.0|116718
154.1|116859
154.2|117003
